,created_at,tree_dbh,curb_loc,health,steward,guards,sidewalk,user_type,problems,spc_common,spc_latin,nta,nta_name,borocode,boro_ct,boroname,zip_city,cb_num,st_senate,st_assem,cncldist
0,2015-06-29,14,OnCurb,1,,,Damage,Volunteer,,English oak,Quercus robur,QN45,Douglas Manor-Douglaston-Little Neck,4,4152901,Queens,Little Neck,411,11,25,23
1,2016-09-21,5,OnCurb,1,3or4,Helpful,NoDamage,Volunteer,,crimson king maple,Acer platanoides 'Crimson King',BX05,Bedford Park-Fordham North,2,2039901,Bronx,Bronx,207,33,78,15
2,2015-09-13,26,OnCurb,2,,,NoDamage,Volunteer,StonesBranchLights,English oak,Quercus robur,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5,5017011,Staten Island,Staten Island,503,24,62,51
3,2016-05-09,15,OnCurb,0,,,Damage,NYC Parks Staff,,honeylocust,Gleditsia triacanthos var. inermis,SI11,Charleston-Richmond Valley-Tottenville,5,5024401,Staten Island,Staten Island,503,24,62,51
4,2016-06-24,23,OnCurb,1,,,NoDamage,Volunteer,Stones,London planetree,Platanus x acerifolia,MN03,Central Harlem North-Polo Grounds,1,1022102,Manhattan,New York,110,30,70,9
5,2015-08-11,12,OnCurb,1,,,Damage,Volunteer,,Amur cork tree,Phellodendron amurense,QN22,Flushing,4,4088901,Queens,Flushing,407,11,40,20
6,2015-10-24,8,OnCurb,1,,Helpful,Damage,Volunteer,BranchLights,littleleaf linden,Tilia cordata,QN22,Flushing,4,4086500,Queens,Flushing,407,16,40,20
7,2016-06-04,6,OnCurb,0,,,NoDamage,NYC Parks Staff,,cherry,Prunus,QN08,St. Albans,4,4052400,Queens,Saint Albans,412,14,33,27
8,2016-07-22,18,OnCurb,1,,,Damage,TreesCount Staff,,Siberian elm,Ulmus pumila,BK82,East New York,3,3116600,Brooklyn,Brooklyn,305,18,54,37
9,2015-10-13,20,OnCurb,1,,,NoDamage,Volunteer,Stones,London planetree,Platanus x acerifolia,QN52,East Flushing,4,4120300,Queens,Flushing,407,16,25,20
10,2015-10-30,15,OnCurb,1,,,NoDamage,NYC Parks Staff,,Norway maple,Acer platanoides,QN56,Ozone Park,4,4008600,Queens,Ozone Park,410,15,23,32
11,2015-09-26,4,OnCurb,0,,,Damage,Volunteer,,Japanese zelkova,Zelkova serrata,SI45,New Dorp-Midland Beach,5,5011202,Staten Island,Staten Island,502,24,64,50
12,2015-08-05,14,OnCurb,1,,,Damage,Volunteer,,green ash,Fraxinus pennsylvanica,BK76,Greenpoint,3,3057500,Brooklyn,Brooklyn,301,18,50,33
13,2015-07-18,4,OnCurb,1,,,NoDamage,Volunteer,,cherry,Prunus,SI25,Oakwood-Oakwood Beach,5,5012806,Staten Island,Staten Island,503,24,64,50
14,2015-08-30,6,OnCurb,1,1or2,Helpful,Damage,Volunteer,,American elm,Ulmus americana,QN49,Whitestone,4,4097300,Queens,Whitestone,407,11,27,19
15,2015-09-13,5,OffsetFromCurb,1,1or2,Harmful,NoDamage,Volunteer,,Kentucky coffeetree,Gymnocladus dioicus,QN37,Kew Gardens Hills,4,4077905,Queens,Jamaica,408,14,24,24
16,2015-05-27,8,OnCurb,1,,,NoDamage,Volunteer,,Amur maackia,Maackia amurensis,SI07,Westerleigh,5,5018901,Staten Island,Staten Island,501,24,63,50
17,2016-08-25,4,OnCurb,1,,,NoDamage,TreesCount Staff,,Japanese zelkova,Zelkova serrata,SI32,Rossville-Woodrow,5,5020804,Staten Island,Staten Island,503,24,62,51
18,2016-02-27,16,OnCurb,2,,,NoDamage,NYC Parks Staff,,cherry,Prunus,BK90,East Williamsburg,3,3050300,Brooklyn,Brooklyn,301,18,53,34
19,2015-08-12,6,OnCurb,1,1or2,,NoDamage,Volunteer,,silver linden,Tilia tomentosa,MN23,West Village,1,1007300,Manhattan,New York,102,27,66,3
20,2015-07-11,4,OnCurb,1,1or2,Helpful,Damage,Volunteer,,American elm,Ulmus americana,BK26,Gravesend,3,3039800,Brooklyn,Brooklyn,315,22,45,47
21,2015-11-13,12,OnCurb,1,3or4,Helpful,NoDamage,Volunteer,Stones,American elm,Ulmus americana,QN05,Rosedale,4,4065600,Queens,Rosedale,413,10,29,31
